date,open,high,low,close,volume,pct_change,target,symbol
24-02-2009,341.55,359,341.55,346.2,243982,-0.014377224,0,ADANIPORTS
25-02-2009,352,354,343,345.25,230475,-0.002744079,0,ADANIPORTS
26-02-2009,343.8,348.8,340,345.1,215832,-0.000434468,0,ADANIPORTS
27-02-2009,341.25,346.6,337.3,341.65,391513,-0.009997102,0,ADANIPORTS
02-03-2009,333.3,339.45,307,316.35,458583,-0.074052393,0,ADANIPORTS
03-03-2009,301.2,316.65,301.2,306.6,126340,-0.030820294,0,ADANIPORTS
04-03-2009,305.15,319,291.25,314,469254,0.024135682,1,ADANIPORTS
05-03-2009,303.2,319.9,300.5,310.8,195189,-0.010191083,0,ADANIPORTS
06-03-2009,301.5,312.25,301.5,309.8,137502,-0.003217503,0,ADANIPORTS
09-03-2009,305.4,313.4,295,297.9,98733,-0.038411879,0,ADANIPORTS
12-03-2009,302.85,304.5,294.25,297.9,146086,0,0,ADANIPORTS
13-03-2009,301,314.4,301,311.7,131526,0.04632427,1,ADANIPORTS
16-03-2009,313,316.4,308.1,312.2,87139,0.001604107,1,ADANIPORTS
17-03-2009,313,326,308.5,310.35,226884,-0.005925689,0,ADANIPORTS
18-03-2009,313,332,313,326.6,290448,0.052360238,1,ADANIPORTS
19-03-2009,328,334.4,311,312.65,258604,-0.042712799,0,ADANIPORTS
20-03-2009,306.35,321.9,306.35,314.3,146542,0.005277467,1,ADANIPORTS
23-03-2009,315,325.9,315,322.15,178441,0.024976137,1,ADANIPORTS
24-03-2009,325,331,313,314.3,208205,-0.024367531,0,ADANIPORTS
25-03-2009,315,325.95,314,324.2,121996,0.031498568,1,ADANIPORTS
26-03-2009,325,332.75,317.65,321.6,166172,-0.008019741,0,ADANIPORTS
27-03-2009,290,326.85,290,308.15,9242138,-0.041822139,0,ADANIPORTS
30-03-2009,321,326.5,303.1,318.1,721088,0.032289469,1,ADANIPORTS
31-03-2009,319.1,328,318.25,323.3,383009,0.016347061,1,ADANIPORTS
01-04-2009,323.3,346.75,323.3,340.8,1887718,0.054129292,1,ADANIPORTS
02-04-2009,349.9,355,342.25,347.25,1277486,0.018926056,1,ADANIPORTS
06-04-2009,355,391.05,350.1,385.15,1576171,0.109143269,1,ADANIPORTS
08-04-2009,373.4,373.4,358.6,365.65,711559,-0.050629625,0,ADANIPORTS
09-04-2009,374.4,388.9,370.1,378.3,929375,0.034595925,1,ADANIPORTS
13-04-2009,385,389.9,375.35,380.1,287618,0.004758128,1,ADANIPORTS
15-04-2009,375,408.95,368.05,399.7,1083383,0.051565378,1,ADANIPORTS
16-04-2009,385.3,415.15,370.25,380.2,610744,-0.04878659,0,ADANIPORTS
17-04-2009,385,403,374,377,507751,-0.008416623,0,ADANIPORTS
20-04-2009,379,389,376,378.8,262049,0.004774536,1,ADANIPORTS
21-04-2009,373,383.4,370,379.6,237316,0.002111932,1,ADANIPORTS
22-04-2009,382.45,400,381.25,386.8,624545,0.018967334,1,ADANIPORTS
23-04-2009,394.7,401.9,375,391.55,480133,0.012280248,1,ADANIPORTS
