date,open,high,low,close,volume,pct_change,target,symbol,MA5,MA10,MA20,Volatility,RSI,lag_close_1,lag_pct_1
16-07-2008,0.013970642,0.0148266,0.014220754,0.014277322,0.001537263,-0.020081967,0.0,ADANIPORTS,0.015768454,0.015073347,0.015992314,0.00362547,0.42176553,488.0,-0.08767994
17-07-2008,0.014689389,0.014796722,0.014002021,0.014294063,0.001249606,0.001150146,1.0,ADANIPORTS,0.015221834,0.015182453,0.015726017,0.003356732,0.470181504,478.2,-0.020081967
18-07-2008,0.01427012,0.014450146,0.013940406,0.013948583,0.00179056,-0.023707572,0.0,ADANIPORTS,0.014736939,0.015234848,0.015480897,0.003202753,0.455230126,478.75,0.001150146
21-07-2008,0.013820903,0.014312711,0.013909598,0.01422101,0.001417934,0.019148481,1.0,ADANIPORTS,0.014377337,0.015262587,0.015332902,0.003140679,0.496914638,467.4,-0.023707572
22-07-2008,0.01427012,0.015421158,0.014371711,0.015441606,0.003129475,0.084181799,1.0,ADANIPORTS,0.014552071,0.015438265,0.015251247,0.002889776,0.553476343,476.35,0.019148481
23-07-2008,0.015915751,0.016702893,0.01637266,0.016570886,0.001849322,0.071836577,1.0,ADANIPORTS,0.015014855,0.015445045,0.015257264,0.002911077,0.668090299,516.45,0.084181799
24-07-2008,0.016615032,0.017425923,0.016837854,0.017516011,0.002358395,0.056092494,1.0,ADANIPORTS,0.015664965,0.015496978,0.015345014,0.003152227,0.690733371,553.55,0.071836577
25-07-2008,0.016965421,0.017960726,0.016717704,0.017613415,0.003045097,0.005473828,1.0,ADANIPORTS,0.016404437,0.01562473,0.015488476,0.003586697,0.678154119,584.6,0.056092494
28-07-2008,0.01711516,0.017842711,0.017606502,0.0176332,0.001551706,0.001105818,1.0,ADANIPORTS,0.017092933,0.015789775,0.015635845,0.003989574,0.694981862,587.8,0.005473828
29-07-2008,0.01711516,0.018142978,0.016377281,0.016605891,0.004663333,-0.057354066,0.0,ADANIPORTS,0.017327857,0.01599535,0.015755476,0.003945045,0.506143407,588.45,0.001105818
30-07-2008,0.016815682,0.017186905,0.016837854,0.016885928,0.002086738,0.016585542,1.0,ADANIPORTS,0.017391425,0.016259484,0.015884561,0.003767878,0.492748163,554.7,-0.057354066
31-07-2008,0.01684563,0.017186905,0.017144389,0.017315115,0.001487863,0.025004433,1.0,ADANIPORTS,0.017350889,0.016565379,0.016094988,0.003515389,0.561301569,563.9,0.016585542
01-08-2008,0.016815682,0.017157028,0.016853258,0.017261847,0.001368994,-0.003027682,0.0,ADANIPORTS,0.017279951,0.016900863,0.016291663,0.002803713,0.583215939,578.0,0.025004433
04-08-2008,0.016995369,0.017572322,0.017333855,0.017529708,0.00109599,0.01527115,1.0,ADANIPORTS,0.017259069,0.017235885,0.016475601,0.001754862,0.73068695,576.25,-0.003027682
05-08-2008,0.017266396,0.017635064,0.017606502,0.017589064,0.001086782,0.003333048,1.0,ADANIPORTS,0.017457449,0.017453325,0.016674932,0.00105911,0.768641975,585.05,0.01527115
06-08-2008,0.017729089,0.017796401,0.017298426,0.017274022,0.001027171,-0.017632027,0.0,ADANIPORTS,0.017535757,0.017524521,0.016714471,0.000866385,0.730569948,587.0,0.003333048
07-08-2008,0.017014835,0.017336291,0.017338476,0.01718575,0.001060801,-0.005029047,0.0,ADANIPORTS,0.017509654,0.01749108,0.016723847,0.0008539,0.760853569,576.65,-0.017632027
08-08-2008,0.016815682,0.017357205,0.017144389,0.017423172,0.001176409,0.013594771,1.0,ADANIPORTS,0.017542206,0.017471818,0.016778857,0.000814598,0.759496793,573.75,-0.005029047
11-08-2008,0.017414638,0.017694819,0.017737434,0.017710819,0.001051279,0.016249678,1.0,ADANIPORTS,0.017578749,0.017479677,0.016866528,0.00084155,0.716652136,581.55,0.013594771
12-08-2008,0.017474533,0.018635953,0.017946925,0.018791397,0.004565447,0.060067682,1.0,ADANIPORTS,0.01782135,0.01770097,0.017082972,0.001301021,0.713992373,591.0,0.016249678
13-08-2008,0.018313071,0.018740523,0.018438305,0.018433741,0.001712813,-0.018754988,0.0,ADANIPORTS,0.018055353,0.017857693,0.017296369,0.00137292,0.599735362,626.5,0.060067682
14-08-2008,0.018163332,0.018201238,0.017152091,0.017141614,0.001089445,-0.06905246,0.0,ADANIPORTS,0.018046447,0.017840125,0.017442566,0.00141034,0.459296218,614.75,-0.018754988
18-08-2008,0.016968416,0.017300438,0.017175196,0.01718575,0.000555847,0.002533636,1.0,ADANIPORTS,0.017998541,0.01783242,0.017608767,0.001426137,0.461558577,572.3,-0.06905246
19-08-2008,0.016935473,0.017019592,0.016961084,0.017038122,0.000412816,-0.008453159,0.0,ADANIPORTS,0.017862808,0.017782645,0.017753401,0.001503442,0.543746149,573.75,0.002533636
20-08-2008,0.016875577,0.017157028,0.017360041,0.017380558,0.000456547,0.019775004,1.0,ADANIPORTS,0.017578135,0.017761533,0.01785295,0.001511668,0.549437177,568.9,-0.008453159
21-08-2008,0.01711516,0.017067396,0.017051966,0.016899625,0.000412002,-0.027234336,0.0,ADANIPORTS,0.017268589,0.017723623,0.017869828,0.001590523,0.458897922,580.15,0.019775004
22-08-2008,0.016665943,0.01702258,0.016990351,0.017251193,0.000534232,0.020466023,1.0,ADANIPORTS,0.017290699,0.017730249,0.017856232,0.001581439,0.499004834,564.35,-0.027234336
25-08-2008,0.017408648,0.017524518,0.017575694,0.017442958,0.000860107,0.010939399,1.0,ADANIPORTS,0.017342597,0.017732253,0.01784748,0.001580591,0.491779637,575.9,0.020466023
26-08-2008,0.016972908,0.016977764,0.017175196,0.017030512,0.000426796,-0.023273789,0.0,ADANIPORTS,0.017341062,0.017663368,0.017816537,0.001618461,0.450391998,582.2,0.010939399
27-08-2008,0.016935473,0.016932948,0.016901009,0.016791567,0.000390644,-0.013804625,0.0,ADANIPORTS,0.017222218,0.017460876,0.01782607,0.001169721,0.456563442,568.65,-0.023273789
28-08-2008,0.01626614,0.016885144,0.016733108,0.016692641,0.000644819,-0.005795292,0.0,ADANIPORTS,0.017180454,0.017284581,0.017816147,0.00062007,0.455689278,560.8,-0.013804625
29-08-2008,0.016725839,0.017067396,0.017206004,0.017292286,0.000582159,0.035333154,1.0,ADANIPORTS,0.017188745,0.017299838,0.017814975,0.000641444,0.48895737,557.55,-0.005795292
01-09-2008,0.016962426,0.017485678,0.017307669,0.017712341,0.001163514,0.023906453,1.0,ADANIPORTS,0.0172431,0.017353158,0.017838104,0.000810298,0.500125597,577.25,0.035333154
02-09-2008,0.017567371,0.017778475,0.017799049,0.017700166,0.001036856,-0.000676762,0.0,ADANIPORTS,0.01737822,0.017420193,0.017846855,0.000911942,0.390667887,591.05,0.023906453
04-09-2008,0.017294846,0.017366168,0.017544887,0.01749166,0.000361207,-0.011597393,0.0,ADANIPORTS,0.017519481,0.017431442,0.017841854,0.000930362,0.402703552,590.65,-0.000676762
05-09-2008,0.016965421,0.017177942,0.017242973,0.017094433,0.000400192,-0.022353546,0.0,ADANIPORTS,0.017600553,0.017451168,0.017832634,0.000892775,0.494022368,583.8,-0.011597393
08-09-2008,0.0173787,0.0174558,0.017510998,0.017380558,0.000469101,0.016469558,1.0,ADANIPORTS,0.017618364,0.017464266,0.017842636,0.000898981,0.523255814,570.75,-0.022353546
09-09-2008,0.01711516,0.017210807,0.017452464,0.01738969,0.00037795,0.000517108,1.0,ADANIPORTS,0.017553261,0.017458873,0.017840917,0.000892268,0.543404735,580.15,0.016469558
10-09-2008,0.016995369,0.017694819,0.017454004,0.017669727,0.001075193,0.015849772,1.0,ADANIPORTS,0.017547119,0.017523596,0.017838807,0.000923116,0.536259542,580.45,0.000517108
